,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
0,2019-10-16_23-32-36,1,0012,3A[S],s,0.790,0.790,-,-,1577,262,0.790,0.795,50,0.810,0.790
1,2019-10-16_23-32-36,2,7054,AASIA[S],s,-,0.110,-,-,-,800,0.110,0.120,1799,-,-
2,2019-10-16_23-32-36,3,5238,AAX[S],s,0.165,0.165,-,-,152482,100540,0.160,0.165,28046,0.170,0.160
3,2019-10-16_23-32-36,4,5238WA,AAX-WA[S],s,0.010,0.010,-,-,9081,5469,0.010,0.015,106160,0.015,0.010
4,2019-10-16_23-32-36,5,7086,ABLEGRP[S],s,0.060,0.065,-0.005,-7.69,510,6501,0.060,0.065,510,0.060,0.060
5,2019-10-16_23-32-36,6,2488,ABMB,s,2.840,2.820,0.020,+0.71,28181,963,2.820,2.840,1267,2.840,2.790
6,2019-10-16_23-32-36,7,7131,ACME[S],s,-,0.240,-,-,-,301,0.210,0.280,70,-,-
7,2019-10-16_23-32-36,8,7120,ACOSTEC[S],s,0.400,0.410,-0.010,-2.44,5204,895,0.395,0.400,2334,0.410,0.400
8,2019-10-16_23-32-36,9,5281,ADVCON[S],s,0.445,0.445,-,-,32637,60,0.445,0.450,9092,0.450,0.435
9,2019-10-16_23-32-36,10,7191,ADVENTA[S],s,-,0.525,-,-,-,20,0.525,0.580,30,-,-
10,2019-10-16_23-32-36,11,9148,ADVPKG[S],s,2.230,2.100,0.130,+6.19,527,20,2.230,2.240,10,2.230,2.100
11,2019-10-16_23-32-36,12,7146,AEM,s,0.110,0.100,0.010,+10.00,503,213,0.100,0.110,497,0.110,0.100
12,2019-10-16_23-32-36,13,7146WA,AEM-WA,s,-,0.005,-,-,-,-,-,0.005,10961,-,-
13,2019-10-16_23-32-36,14,6599,AEON[S],s,1.560,1.540,0.020,+1.30,6151,59,1.540,1.560,101,1.560,1.520
14,2019-10-16_23-32-36,15,5139,AEONCR,s,15.660,15.600,0.060,+0.38,1318,20,15.540,15.680,10,15.700,15.480
15,2019-10-16_23-32-36,16,5185,AFFIN,s,1.930,1.940,-0.010,-0.52,1697,72,1.930,1.940,60,1.960,1.930
