,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
827,2019-10-13_21-58-08,827,9776WC,SMCAP-WC[S],s,-,0.050,-,-,-,2100,0.045,0.060,24,-,-
828,2019-10-13_21-58-08,828,4375,SMI[S],s,0.135,0.135,-,-,700,30,0.135,0.145,200,0.135,0.135
829,2019-10-13_21-58-08,829,7132,SMISCOR[S],s,-,0.370,-,-,-,500,0.325,0.370,599,-,-
830,2019-10-13_21-58-08,830,7943,SNC[S],s,-,0.240,-,-,-,330,0.205,0.235,50,-,-
831,2019-10-13_21-58-08,831,5213,SNTORIA[S],s,0.210,0.215,-0.005,-2.33,7637,14202,0.205,0.210,2420,0.215,0.205
832,2019-10-13_21-58-08,832,5213WB,SNTORIA-WB[S],s,-,0.140,-,-,-,300,0.120,0.140,698,-,-
833,2019-10-13_21-58-08,833,5242,SOLID[S],s,0.350,0.355,-0.005,-1.41,75710,3000,0.340,0.350,50,0.375,0.345
834,2019-10-13_21-58-08,834,5242WA,SOLID-WA[S],s,0.115,0.140,-0.025,-17.86,303951,34074,0.110,0.115,3659,0.145,0.110
835,2019-10-13_21-58-08,835,5126,SOP[S],s,2.150,2.110,0.040,+1.90,104,15,2.150,2.170,26,2.150,2.110
836,2019-10-13_21-58-08,836,7103,SPRITZER[S],s,2.270,2.200,0.070,+3.18,2000,2,2.200,2.270,40,2.300,2.210
837,2019-10-13_21-58-08,837,8664,SPSETIA[S],s,1.320,1.320,-,-,10986,220,1.320,1.330,768,1.340,1.320
838,2019-10-13_21-58-08,838,8664PA,SPSETIA-PA[S],s,-,0.885,-,-,-,50,0.865,0.935,123,-,-
839,2019-10-13_21-58-08,839,8664PB,SPSETIA-PB[S],s,-,0.820,-,-,-,100,0.785,0.820,330,-,-
840,2019-10-13_21-58-08,840,5665,SSTEEL,s,0.875,0.905,-0.030,-3.31,5387,130,0.870,0.885,500,0.905,0.870
841,2019-10-13_21-58-08,841,6084,STAR[S],s,0.515,0.520,-0.005,-0.96,1650,1018,0.515,0.525,445,0.525,0.515
842,2019-10-13_21-58-08,842,6904,SUBUR[S],s,0.390,0.395,-0.005,-1.27,100,1,0.400,0.410,1,0.390,0.390
843,2019-10-13_21-58-08,843,7207,SUCCESS[S],s,0.895,0.895,-,-,1284,42,0.885,0.895,11,0.895,0.885
844,2019-10-13_21-58-08,844,1201,SUMATEC[S],s,0.015,0.010,0.005,+50.00,37122,99700,0.010,0.015,782823,0.015,0.010
845,2019-10-13_21-58-08,845,1201WA,SUMATEC-WA[S],s,-,0.010,-,-,-,50719,0.005,0.010,15606,-,-
846,2019-10-13_21-58-08,846,5263,SUNCON[S],s,2.000,1.960,0.040,+2.04,2201,1316,2.000,2.010,100,2.020,2.000
847,2019-10-13_21-58-08,847,5176,SUNREIT,s,1.880,1.870,0.010,+0.53,14443,23067,1.880,1.890,594,1.890,1.860
