,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
0,2019-10-15_15-10-23,1,0012,3A[S],s,0.795,0.790,0.005,+0.63,200,80,0.795,0.800,274,0.795,0.795
1,2019-10-15_15-10-23,2,7054,AASIA[S],s,0.110,0.110,-,-,330,520,0.110,0.120,1799,0.110,0.110
2,2019-10-15_15-10-23,3,5238,AAX[S],s,0.160,0.160,-,-,44605,19409,0.160,0.165,30103,0.165,0.155
3,2019-10-15_15-10-23,4,5238WA,AAX-WA[S],s,0.010,0.010,-,-,4100,5140,0.010,0.015,108164,0.010,0.010
4,2019-10-15_15-10-23,5,7086,ABLEGRP[S],s,-,0.065,-,-,-,3754,0.060,0.070,1514,-,-
5,2019-10-15_15-10-23,6,2488,ABMB,s,2.830,2.820,0.010,+0.35,21137,1019,2.820,2.830,2269,2.840,2.780
6,2019-10-15_15-10-23,7,7131,ACME[S],s,-,0.240,-,-,-,201,0.210,0.280,70,-,-
7,2019-10-15_15-10-23,8,7120,ACOSTEC[S],s,0.405,0.405,-,-,4324,126,0.400,0.405,544,0.405,0.400
8,2019-10-15_15-10-23,9,5281,ADVCON[S],s,0.445,0.445,-,-,39209,3616,0.440,0.445,109,0.450,0.435
9,2019-10-15_15-10-23,10,7191,ADVENTA[S],s,-,0.525,-,-,-,20,0.525,0.580,30,-,-
10,2019-10-15_15-10-23,11,9148,ADVPKG[S],s,2.090,2.130,-0.040,-1.88,543,100,2.080,2.100,100,2.090,2.070
11,2019-10-15_15-10-23,12,7146,AEM,s,-,0.100,-,-,-,113,0.100,0.110,900,-,-
12,2019-10-15_15-10-23,13,7146WA,AEM-WA,s,-,0.005,-,-,-,-,-,0.005,10341,-,-
13,2019-10-15_15-10-23,14,6599,AEON[S],s,1.530,1.530,-,-,1405,103,1.520,1.530,73,1.540,1.520
14,2019-10-15_15-10-23,15,5139,AEONCR,s,15.560,15.400,0.160,+1.04,1054,93,15.520,15.560,55,15.580,15.400
15,2019-10-15_15-10-23,16,5185,AFFIN,s,1.950,1.950,-,-,228,306,1.940,1.950,291,1.950,1.940
16,2019-10-15_15-10-23,17,5198,AFUJIYA[S],s,-,0.550,-,-,-,50,0.500,0.530,50,-,-
17,2019-10-15_15-10-23,18,7315,AHB[S],s,-,0.120,-,-,-,3263,0.120,0.125,1710,-,-
18,2019-10-15_15-10-23,19,7090,AHEALTH[S],s,2.230,2.250,-0.020,-0.89,70,124,2.210,2.240,9,2.230,2.210
19,2019-10-15_15-10-23,20,4952,AHP,s,-,0.795,-,-,-,50,0.775,0.800,499,-,-
20,2019-10-15_15-10-23,21,5099,AIRASIA,s,1.810,1.750,0.060,+3.43,66667,2789,1.810,1.820,6412,1.820,1.750
21,2019-10-15_15-10-23,22,5014,AIRPORT,s,8.790,8.740,0.050,+0.57,4665,120,8.790,8.800,1254,8.840,8.740
22,2019-10-15_15-10-23,23,2682,AISB[S],s,-,0.220,-,-,-,250,0.210,0.245,224,-,-
23,2019-10-15_15-10-23,24,2658,AJI[S],s,15.800,15.920,-0.120,-0.75,325,26,15.800,15.840,16,16.000,15.800
24,2019-10-15_15-10-23,25,7609,AJIYA[S],s,0.410,0.410,-,-,800,17,0.410,0.415,600,0.410,0.410
25,2019-10-15_15-10-23,26,7609WA,AJIYA-WA[S],s,0.055,0.060,-0.005,-8.33,365,635,0.055,0.070,440,0.055,0.055
26,2019-10-15_15-10-23,27,5115,ALAM[S],s,0.095,0.090,0.005,+5.56,71788,104877,0.090,0.095,51710,0.100,0.090
27,2019-10-15_15-10-23,28,5115WA,ALAM-WA[S],s,0.045,0.050,-0.005,-10.00,88215,23795,0.045,0.050,63804,0.045,0.040
28,2019-10-15_15-10-23,29,5116,ALAQAR[S],s,1.480,1.480,-,-,40,9,1.480,1.490,171,1.480,1.480
29,2019-10-15_15-10-23,30,2674,ALCOM[S],s,0.445,0.445,-,-,322,47,0.445,0.450,38,0.450,0.440
30,2019-10-15_15-10-23,31,1163,ALLIANZ,s,13.980,13.800,0.180,+1.30,1,2,13.820,13.880,20,13.980,13.980
31,2019-10-15_15-10-23,32,1163PA,ALLIANZ-PA,s,-,14.000,-,-,-,5,13.600,-,-,-,-
32,2019-10-15_15-10-23,33,5269,ALSREIT[S],s,0.860,0.870,-0.010,-1.15,41,31,0.860,0.885,55,0.880,0.850
33,2019-10-15_15-10-23,34,1015,AMBANK,s,3.850,3.840,0.010,+0.26,5146,764,3.850,3.860,958,3.880,3.830
